Parkinginfo_px,Parkinginfo,Py,Px
,,25.08276,121.91341
,,25.06577,121.50052
,,25.08059,121.82453
,,24.98808,121.51627
,,25.04991,121.79754
,,25.29833,121.53806
,,25.08056,121.85437
,,25.29842,121.53658
,,25.04697,121.78402
,,24.93706,121.71156
,,25.10368,121.42758
,,25.22103,121.64207
,,24.93379,121.37037
,,24.97427,121.53981
,,24.77972,121.50003
,,24.95636,121.36394
,,24.97028,121.44697
,,25.15683,121.40507
,,25.13202,121.82085
,,25.27503,121.50502
,,24.91252,121.69371
,,24.97131,121.44276
,,25.02048,121.95038
,,25.09595,121.83347
,,25.08713,121.82692
,,25.10095,121.85458
,,24.95001,121.53333
,,24.97361,121.38709
,,24.93524,121.70422
,,25.05851,121.43053
,,24.99975,121.52111
,,24.95189,121.35434
,,24.90249,121.50152
,,25.09823,121.45741
,,25.16135,121.43151
,,25.10435,121.42545
,,25.10351,121.44842
,,25.03376,121.86574
,,25.01336,121.67503
,,25.07218,121.49445
,,25.02449,121.72333
,,24.94742,121.35282
,,24.99797,121.60674
,,24.98846,121.92504
,,24.97499,121.63446
,,25.08145,121.47078
,,25.16554,121.41781
,,24.93404,121.71109
,,25.29031,121.54023
,,24.96683,121.57448
,,25.08485,121.43196
,,25.00209,121.74656
,,25.10816,121.84381
,,25.09363,121.85301
,,25.09113,121.47943
,,25.16601,121.44697
,,24.95001,121.53333
,,25.05979,121.43201
,,25.10822,121.84355
,,25.00873,121.46065
,,25.16554,121.41781
,,25.02071,121.71471
,,25.26861,121.57139
,,25.17504,121.46467
,,24.93095,121.40904
,,25.11651,121.78319
,,25.06075,121.49221
,,24.87195,121.54798
,,24.92113,121.56798
,,25.05583,121.47862
,,25.18825,121.68609
,,25.11901,121.84916
,,25.05668,121.47776
,,25.01312,121.50871
,,25.21453,121.53926
,,25.10174,121.83083
,,25.12746,121.43586
,,25.06291,121.48978
,,25.01642,121.99923
,,24.90801,121.55167
,,24.99751,121.49385
,,24.93127,121.35549
,,25.16308,121.42194
,,25.26864,121.57125
,,24.90957,121.43459
,,25.00828,121.47897
,,25.05799,121.48853
,,24.98058,121.42609
,,25.29054,121.54404
,,25.07211,121.47445
,,25.03446,121.45494
,,25.00684,121.65185
,,24.99567,121.41947
,,24.84883,121.55129
,,25.17028,121.44104
,,24.99325,121.49072
,,25.06189,121.43433
,,25.17109,121.43862
,,25.15009,121.42303
,,25.06175,121.66157
,,25.00751,121.50715
,,24.86351,121.54737
,,24.94222,121.44667
,,24.87064,121.40681
,,24.84161,121.54113
,,24.95682,121.62386
,,24.90238,121.55321
,,25.10851,121.83261
,,23.75576,120.59541
,,25.05979,121.43201
,,24.99106,121.40581
,,25.07432,121.63299
,,25.17696,121.43592
,,25.05275,121.66315
,,25.02941,121.83194
,,24.95819,121.35646
,,25.23841,121.53967
,,25.02531,121.73882
,,25.07182,121.48599
,,25.17922,121.42939
,,24.91236,121.38404
,,25.12282,121.86373
,,24.95597,121.35434
,,25.16083,121.43001
,,25.08571,121.45751
,,25.27534,121.55126
,,25.29054,121.54404
,,24.99858,121.51373
,,25.06776,121.68965
,,25.12567,121.46406
,,25.06601,121.49599
,,24.99883,121.61598
,,25.14278,121.45925
,,25.06407,121.47214
,,25.01255,121.99152
,,25.08088,121.82395
,,25.00285,121.48332
,,24.90109,121.67423
,,25.04201,121.92731
,,25.22092,121.64027
,,25.17011,121.44214
,,25.07621,121.48383
,,24.99828,121.39892
,,24.84695,121.55005
,,25.08834,121.82988
,,25.05168,121.66901
,,24.97468,121.49845
,,25.10511,121.92114
,,25.17273,121.43679
,,24.96774,121.72733
,,25.00143,121.61417
,,25.16216,121.42673
,,25.00358,121.40704
,,25.05241,121.67641
,,25.20124,121.66538
,,25.08591,121.82847
,,24.85989,121.54334
,,24.95138,121.46611
,,25.12632,121.83212
,,25.15341,121.61852
,,25.07784,121.47376
,,24.97283,121.39726
,,24.84784,121.55126
,,25.11342,121.38532
,,25.16602,121.44701
,,25.23283,121.65451
,,25.02464,121.73871
,,24.87569,121.38199
,,24.95449,121.35521
,,25.17202,21.438441
,,24.79201,121.45262
,,24.99551,121.61641
,,25.08871,121.83013
,,25.15816,121.43385
,,25.17008,121.43971
,,24.95824,121.35993
,,24.94392,121.43024
,,25.08858,121.46767
,,24.84763,121.44587
,,25.06847,121.65896
,,25.22727,121.50181
